;;---------- ВОЖДЕНИЕ АВТО ----------
Значение;Дата;Название
"⁦‎18:‎07⁩ - ⁦‎18:‎51⁩";"24 июн. 2021 г.";""
;;---------- Совещания ----------
Значение;Дата;Название
"⁦‎11:‎20⁩ - ⁦‎11:‎40⁩";"30 июн. 2021 г.";""
;;---------- Саморазвитие ----------
Значение;Дата;Название
"⁦‎11:‎56⁩ - ⁦‎13:‎16⁩";"21 июн. 2021 г.";""
;;---------- Курсы и тренинги ----------
Значение;Дата;Название
"⁦‎22:‎18⁩ - ⁦‎00:‎07⁩";"⁦11⁩ - ⁦12 июн. 2021⁩";""
;;---------- Прокачка в кодинге ----------
Значение;Дата;Название
"⁦‎10:‎13⁩ - ⁦‎11:‎45⁩";"14 июл. 2021 г.";""
"⁦‎10:‎02⁩ - ⁦‎10:‎12⁩";"14 июл. 2021 г.";"Ютуб слушаю, вики наполняю и тп"
"⁦‎14:‎30⁩ - ⁦‎15:‎31⁩";"13 июл. 2021 г.";""
"⁦‎13:‎54⁩ - ⁦‎15:‎24⁩";"12 июл. 2021 г.";""
"⁦‎13:‎40⁩ - ⁦‎13:‎54⁩";"12 июл. 2021 г.";"Портфолио для NujenSait"
"⁦‎21:‎30⁩ - ⁦‎22:‎27⁩";"7 июл. 2021 г.";""
"⁦‎17:‎27⁩ - ⁦‎18:‎33⁩";"6 июл. 2021 г.";""
"⁦‎11:‎08⁩ - ⁦‎11:‎35⁩";"6 июл. 2021 г.";""
"⁦‎11:‎00⁩ - ⁦‎11:‎08⁩";"6 июл. 2021 г.";""
"⁦‎12:‎47⁩ - ⁦‎13:‎02⁩";"5 июл. 2021 г.";""
"⁦‎12:‎30⁩ - ⁦‎12:‎47⁩";"5 июл. 2021 г.";"Solid"
"⁦‎14:‎49⁩ - ⁦‎14:‎58⁩";"2 июл. 2021 г.";""
"⁦‎14:‎30⁩ - ⁦‎14:‎38⁩";"2 июл. 2021 г.";""
"⁦‎17:‎09⁩ - ⁦‎17:‎30⁩";"30 июн. 2021 г.";""
"⁦‎16:‎07⁩ - ⁦‎17:‎09⁩";"30 июн. 2021 г.";"Go"
"⁦‎15:‎00⁩ - ⁦‎15:‎16⁩";"30 июн. 2021 г.";""
"⁦‎16:‎19⁩ - ⁦‎18:‎20⁩";"29 июн. 2021 г.";""
"⁦‎14:‎26⁩ - ⁦‎15:‎04⁩";"28 июн. 2021 г.";""
"⁦‎11:‎59⁩ - ⁦‎12:‎43⁩";"28 июн. 2021 г.";""
"⁦‎09:‎56⁩ - ⁦‎11:‎21⁩";"28 июн. 2021 г.";""
"⁦‎09:‎30⁩ - ⁦‎09:‎55⁩";"28 июн. 2021 г.";"Вики"
"⁦‎23:‎17⁩ - ⁦‎23:‎53⁩";"22 июн. 2021 г.";""
"⁦‎21:‎33⁩ - ⁦‎00:‎09⁩";"⁦11⁩ - ⁦12 июн. 2021⁩";""
;;---------- Общение по телефону ----------
Значение;Дата;Название
"⁦‎16:‎24⁩ - ⁦‎16:‎45⁩";"4 авг. 2021 г.";"Юра Исаенко"
"⁦‎11:‎30⁩ - ⁦‎12:‎04⁩";"24 июн. 2021 г.";"Исаенко"
;;---------- Общение с Вовой ----------
Значение;Дата;Название
"⁦‎13:‎48⁩ - ⁦‎14:‎42⁩";"9 июл. 2021 г.";""
"⁦‎13:‎31⁩ - ⁦‎13:‎42⁩";"9 июл. 2021 г.";""
"⁦‎13:‎00⁩ - ⁦‎13:‎28⁩";"9 июл. 2021 г.";"Поиск работы Вове"
;;---------- Общение Елена ----------
Значение;Дата;Название
"⁦‎22:‎35⁩ - ⁦‎23:‎48⁩";"29 июн. 2021 г.";""
"⁦‎10:‎45⁩ - ⁦‎11:‎20⁩";"22 июн. 2021 г.";""
"⁦‎17:‎20⁩ - ⁦‎18:‎05⁩";"21 июн. 2021 г.";"Созвон с Леной "
"⁦‎17:‎12⁩ - ⁦‎17:‎54⁩";"20 июн. 2021 г.";""
"⁦‎22:‎46⁩ - ⁦‎22:‎55⁩";"17 июн. 2021 г.";""
"⁦‎11:‎15⁩ - ⁦‎11:‎33⁩";"17 июн. 2021 г.";""
"⁦‎22:‎30⁩ - ⁦‎23:‎15⁩";"15 июн. 2021 г.";""
"⁦‎11:‎45⁩ - ⁦‎11:‎58⁩";"12 июн. 2021 г.";""
"⁦‎18:‎14⁩ - ⁦‎18:‎26⁩";"11 июн. 2021 г.";""
;;---------- Оптимизации процессов ----------
Значение;Дата;Название
"⁦‎21:‎03⁩ - ⁦‎21:‎16⁩";"11 июн. 2021 г.";""
"⁦‎20:‎51⁩ - ⁦‎21:‎00⁩";"11 июн. 2021 г.";""
"⁦‎20:‎04⁩ - ⁦‎20:‎50⁩";"11 июн. 2021 г.";""
;;---------- ЕДА (приём пищи)  ----------
Значение;Дата;Название
"⁦‎13:‎29⁩ - ⁦‎14:‎02⁩";"4 авг. 2021 г.";""
"⁦‎13:‎00⁩ - ⁦‎13:‎25⁩";"4 авг. 2021 г.";"Обед"
"⁦‎11:‎15⁩ - ⁦‎11:‎48⁩";"17 июл. 2021 г.";""
"⁦‎13:‎00⁩ - ⁦‎14:‎15⁩";"15 июл. 2021 г.";""
"⁦‎13:‎21⁩ - ⁦‎14:‎00⁩";"14 июл. 2021 г.";""
"⁦‎13:‎16⁩ - ⁦‎14:‎05⁩";"13 июл. 2021 г.";""
"⁦‎10:‎15⁩ - ⁦‎10:‎28⁩";"13 июл. 2021 г.";""
"⁦‎14:‎00⁩ - ⁦‎14:‎40⁩";"9 июл. 2021 г.";"Обед "
"⁦‎20:‎41⁩ - ⁦‎21:‎29⁩";"8 июл. 2021 г.";""
"⁦‎13:‎05⁩ - ⁦‎13:‎22⁩";"7 июл. 2021 г.";""
"⁦‎09:‎00⁩ - ⁦‎09:‎30⁩";"7 июл. 2021 г.";"Завтрак"
"⁦‎14:‎20⁩ - ⁦‎14:‎57⁩";"6 июл. 2021 г.";""
"⁦‎09:‎30⁩ - ⁦‎10:‎00⁩";"6 июл. 2021 г.";""
"⁦‎17:‎00⁩ - ⁦‎18:‎00⁩";"5 июл. 2021 г.";""
"⁦‎13:‎03⁩ - ⁦‎14:‎00⁩";"5 июл. 2021 г.";""
"⁦‎19:‎00⁩ - ⁦‎19:‎30⁩";"4 июл. 2021 г.";""
"⁦‎12:‎00⁩ - ⁦‎13:‎00⁩";"4 июл. 2021 г.";""
"⁦‎13:‎31⁩ - ⁦‎13:‎54⁩";"2 июл. 2021 г.";""
"⁦‎13:‎05⁩ - ⁦‎14:‎04⁩";"1 июл. 2021 г.";""
"⁦‎08:‎30⁩ - ⁦‎09:‎00⁩";"1 июл. 2021 г.";""
"⁦‎20:‎00⁩ - ⁦‎20:‎25⁩";"30 июн. 2021 г.";""
